date,close,open,high,low,changePercent
04-01-2021,129.41,133.52,133.6116,126.76,0
05-01-2021,131.01,128.89,131.74,128.43,0.0124
06-01-2021,126.6,127.72,131.0499,126.382,-0.0337
07-01-2021,130.92,128.36,131.63,127.86,0.0341
08-01-2021,132.05,132.43,132.63,130.23,0.0086
11-01-2021,128.98,129.19,130.17,128.5,-0.0232
12-01-2021,128.8,128.5,129.69,126.86,-0.0014
13-01-2021,130.89,128.76,131.45,128.49,0.0162
14-01-2021,128.91,130.8,131,128.76,-0.0151
15-01-2021,127.14,128.78,130.2242,127,-0.0137
19-01-2021,127.83,127.78,128.71,126.938,0.0054
20-01-2021,132.03,128.66,132.49,128.55,0.0329
21-01-2021,136.87,133.8,139.67,133.59,0.0367
22-01-2021,139.07,136.28,139.85,135.02,0.0161
25-01-2021,142.92,143.07,145.09,136.54,0.0277
26-01-2021,143.16,143.6,144.3,141.37,0.0017
27-01-2021,142.06,143.43,144.3,140.41,-0.0077
28-01-2021,137.09,139.52,141.99,136.7,-0.035
29-01-2021,131.96,135.83,136.74,130.21,-0.0374
01-02-2021,134.14,133.75,135.38,130.93,0.0165
02-02-2021,134.99,135.73,136.31,134.61,0.0063
03-02-2021,133.94,135.76,135.77,133.61,-0.0078
04-02-2021,137.39,136.3,137.4,134.59,0.0258
05-02-2021,136.76,137.35,137.42,135.86,-0.0046
08-02-2021,136.91,136.03,136.96,134.92,0.0011
09-02-2021,136.01,136.62,137.877,135.85,-0.0066
10-02-2021,135.39,136.48,136.99,134.4,-0.0046
11-02-2021,135.13,135.9,136.39,133.77,-0.0019
12-02-2021,135.37,134.35,135.53,133.6921,0.0018
16-02-2021,133.19,135.49,136.01,132.79,-0.0161
17-02-2021,130.84,131.25,132.22,129.47,-0.0176
18-02-2021,129.71,129.2,129.995,127.41,-0.0086
19-02-2021,129.87,130.24,130.71,128.8,0.0012
22-02-2021,126,128.01,129.72,125.6,-0.0298
23-02-2021,125.86,123.76,126.71,118.39,-0.0011
24-02-2021,125.35,124.94,125.56,122.23,-0.0041
25-02-2021,120.99,124.68,126.4585,120.54,-0.0348
26-02-2021,121.26,122.59,124.85,121.2,0.0022
01-03-2021,127.79,123.75,127.93,122.79,0.0539
02-03-2021,125.12,128.41,128.72,125.01,-0.0209
03-03-2021,122.06,124.81,125.71,121.84,-0.0245
04-03-2021,120.13,121.75,123.6,118.62,-0.0158
05-03-2021,121.42,120.98,121.935,117.57,0.0107
08-03-2021,116.36,120.93,121,116.21,-0.0417
09-03-2021,121.085,119.03,122.06,118.79,0.0406
10-03-2021,119.98,121.69,122.17,119.45,-0.0091
11-03-2021,121.96,122.54,123.21,121.26,0.0165
12-03-2021,121.03,120.4,121.17,119.16,-0.0076
15-03-2021,123.99,121.41,124,120.42,0.0245
16-03-2021,125.57,125.7,127.22,124.715,0.0127
17-03-2021,124.76,124.05,125.8599,122.336,-0.0065
18-03-2021,120.53,122.88,123.18,120.32,-0.0339
19-03-2021,119.99,119.9,121.43,119.675,-0.0045
22-03-2021,123.39,120.33,123.87,120.26,0.0283
23-03-2021,122.54,123.33,124.24,122.14,-0.0069
24-03-2021,120.09,122.82,122.9,120.065,-0.02
25-03-2021,120.59,119.54,121.66,119,0.0042
26-03-2021,121.21,120.35,121.48,118.92,0.0051
29-03-2021,121.39,121.65,122.58,120.7299,0.0015
30-03-2021,119.9,120.11,120.4031,118.86,-0.0123
31-03-2021,122.15,121.65,123.52,121.15,0.0188
01-04-2021,123,123.66,124.18,122.49,0.007
05-04-2021,125.9,123.87,126.1601,123.07,0.0236
